[2026-05-30T23:38:39.914Z] GET http://localhost:5000/ → 200 (144ms, 1566B)
[2026-05-30T23:38:40.064Z] GET http://localhost:5000/flutter_bootstrap.js → 200 (15ms, 9975B)
[2026-05-30T23:38:40.107Z] GET https://www.gstatic.com/flutter-canvaskit/4c525dac5ebe5971c5708ef73558ed8edcf4a362/chromium/canvaskit.wasm → pending (?ms, ?B)
[2026-05-30T23:38:40.108Z] GET https://www.gstatic.com/flutter-canvaskit/4c525dac5ebe5971c5708ef73558ed8edcf4a362/chromium/canvaskit.js → pending (?ms, ?B)
[2026-05-30T23:38:40.108Z] GET http://localhost:5000/main.dart.js → 200 (300ms, 10111647B)
[2026-05-30T23:38:40.897Z] GET http://localhost:5000/assets/FontManifest.json → 200 (73ms, 186B)
[2026-05-30T23:38:40.989Z] GET http://localhost:5000/assets/fonts/MaterialIcons-Regular.otf → 200 (6ms, 7736B)
[2026-05-30T23:38:40.989Z] GET http://localhost:5000/assets/packages/lucide_icons/assets/lucide.ttf → 200 (5ms, 395792B)
[2026-05-30T23:38:40.989Z] GET https://fonts.gstatic.com/s/roboto/v32/KFOmCnqEu92Fr1Me4GZLCzYlKw.woff2 → pending (?ms, ?B)
[2026-05-30T23:38:44.039Z] GET http://localhost:5000/assets/AssetManifest.bin.json → 200 (524ms, 278B)
[2026-05-30T23:38:44.591Z] GET https://fonts.gstatic.com/s/notosanssymbols/v43/rP2up3q65FkAtHfwd-eIS2brbDN6gxP34F9jRRCe4W3gfQ8gb_VFRkzrbQ.woff2 → 200 (167ms, ?B)
[2026-05-30T23:38:44.597Z] GET https://fonts.gstatic.com/s/a/d7ba633bab7f40576e539a7e934a1301d7618dceea59c743de477c2c493462fc.ttf → 200 (161ms, ?B)
[2026-05-30T23:38:44.598Z] GET https://fonts.gstatic.com/s/a/ecdb53099b1a68cd24c6900ea5beeafec81bd3c8cb9d0f3c51b9986583ba3982.ttf → 200 (159ms, ?B)
[2026-05-30T23:38:44.600Z] GET https://fonts.gstatic.com/s/a/b7e339223d56e8c4210c86f1ba87b3d43d6c47e03956ea56f0a7a938ae61b2a3.ttf → 200 (158ms, ?B)
[2026-05-30T23:38:44.607Z] GET http://opescare.test/api/mobile/health-id-card → pending (?ms, ?B)
